Date,Customer,Total
2020-01,aea36f18ab8d7887628db66b6635d59ba348c4843e95190f33eae8d6bf72674d,2.0
2020-01,0b5687f202fcf98d01c9bd071996b3f8066f70b4e16a49c91ab869dcbfc39122,5.0
2020-01,fd7182047b43bfd58dcd1c9ccc55c889c9e862f89127df8566a2f30a318941d0,6.0
2020-01,58873afabbba45d3ee3b67e013f1f2be1b5a894f554ae620f19741df3d679c23,6.0
2020-01,a302152f779f5db64b74e2258525687738e050a704754fd7f21ed30a32e7c011,20.0
2020-01,30c6ef80bc3aa616f184969b711efe7360cdd8255b30cef2170f5a0dd282bf84,6.0
2020-01,ba3bea4055cc47b2a868eb7985dcb322a419f21406e08ae57a41986701f63d5d,4.0
2020-01,fb8c38bef5f2847f0d48b0ca47220a7d8988ecddbe7375f23160b3553ae10709,14.0
2020-01,3572f90b09c58d1372e930443dd07fe308b2687816060a21d2451241ff0a2ddf,6.0
2020-01,048806d92903bb5e8dcba72d33151e1cab219a3c9777664449f479f9de9df2a5,20.0
2020-01,8c2d29ff16164046ddf156780870cf9a390979788167a2406f8f3ab8112aa396,6.0
2020-01,048806d92903bb5e8dcba72d33151e1cab219a3c9777664449f479f9de9df2a5,1.0
2020-01,048806d92903bb5e8dcba72d33151e1cab219a3c9777664449f479f9de9df2a5,10.0
2020-01,8c2d29ff16164046ddf156780870cf9a390979788167a2406f8f3ab8112aa396,4.0
2020-01,48c52746db2b2910310f219de44dea7134b944603effa3b6b799fa45c5e60653,6.0
2020-01,e1fd144dee4f704d3c68eb64b272be1c414aadf8293ef04bdf06448c241cde72,4.0
2020-01,a6e8721755ffc74d396df3df69d400f78e01d40f15463b4d5cf9f6e40265559a,8.0
2020-01,b7fb39e584a664b706cf2cfc87c483ecb0fd6cbee024e590d446cc715bb307b5,6.0
2020-01,6c20190f653a3e232bc80e746051461123249bb9096c598a150d894ef21cd097,6.0
2020-01,9fbf805dce033b4d64a9b65a194e232d1fafa2ccaaafa90e3a1f77d6c366dcfe,30.0
